pos	sentiment
220	-60.0
221	60.0
222	-33.3333333333
223	-50.0
224	0.0
225	-60.0
226	-50.0
227	0.0
228	-14.2857142857
229	0.0
230	0.0
231	50.0
232	-20.0
233	-100.0
234	0.0
235	-42.8571428571
236	-50.0
237	33.3333333333
238	100.0
239	-100.0
240	50.0
241	20.0
242	100.0
243	0.0
244	100.0
245	100.0
246	83.3333333333
247	100.0
248	0.0
249	100.0
250	100.0
251	100.0
252	0.0
253	50.0
254	-33.3333333333
255	-50.0
256	-77.7777777778
257	0.0
258	20.0
259	71.4285714286
260	45.4545454545
261	33.3333333333
262	0.0
263	-33.3333333333
264	20.0
265	0.0
266	-33.3333333333
267	9.09090909091
268	-100.0
269	-33.3333333333
270	-33.3333333333
271	-50.0
272	-33.3333333333
273	-60.0
274	-100.0
275	0.0
276	-100.0
277	-66.6666666667
278	-100.0
279	25.0
280	50.0
281	-60.0
282	-33.3333333333
283	-20.0
284	-11.1111111111
285	0.0
286	-100.0
287	100.0
288	33.3333333333
289	-33.3333333333
290	20.0
291	-40.0
292	-42.8571428571
293	-40.0
294	-66.6666666667
295	-20.0
296	-25.0
297	-50.0
298	-50.0
299	-60.0
300	-66.6666666667
301	-33.3333333333
302	-50.0
303	11.1111111111
304	-100.0
305	-100.0
306	-100.0
307	-100.0
308	14.2857142857
309	20.0
310	-14.2857142857
311	-60.0
312	-20.0
313	-25.0
314	0.0
315	50.0
316	100.0
317	50.0
318	-33.3333333333
319	-60.0
320	0.0
321	-66.6666666667
322	-66.6666666667
323	71.4285714286
324	66.6666666667
325	38.4615384615
326	-14.2857142857
327	27.2727272727
328	-33.3333333333
329	-50.0
330	-33.3333333333
331	-14.2857142857
332	-33.3333333333
333	-100.0
334	100.0
335	14.2857142857
336	42.8571428571
337	33.3333333333
338	-33.3333333333
339	-100.0
340	42.8571428571
341	-14.2857142857
342	0.0
343	0.0
344	71.4285714286
345	-60.0
346	63.6363636364
347	60.0
348	-50.0
349	-50.0
350	-14.2857142857
351	0.0
352	0.0
353	27.2727272727
354	33.3333333333
355	25.0
356	60.0
357	11.1111111111
358	-20.0
359	-100.0
360	33.3333333333
361	33.3333333333
362	33.3333333333
363	-20.0
364	-25.0
365	40.0
366	14.2857142857
367	0.0
368	20.0
369	-42.8571428571
370	-50.0
371	50.0
372	50.0
373	100.0
374	0.0
375	-100.0
376	33.3333333333
377	-100.0
378	-50.0
379	-25.0
380	-20.0
381	-60.0
382	0.0
383	20.0
384	33.3333333333
385	-42.8571428571
386	20.0
387	-33.3333333333
388	52.9411764706
389	45.4545454545
390	-100.0
391	11.1111111111
392	-20.0
393	100.0
394	100.0
395	100.0
396	50.0
397	-66.6666666667
398	20.0
399	14.2857142857
400	25.0
401	57.1428571429
402	-14.2857142857
403	-60.0
404	100.0
405	0.0
406	42.8571428571
407	-66.6666666667
408	20.0
409	-100.0
410	-33.3333333333
411	-100.0
412	0.0
413	-100.0
414	60.0
415	14.2857142857
416	-12.5
417	-100.0
418	0.0
419	-25.0
420	-100.0
421	-27.2727272727
422	0.0
423	33.3333333333
424	0.0
425	55.5555555556
426	60.0
427	-42.8571428571
428	-33.3333333333
429	-60.0
430	20.0
431	0.0
432	0.0
433	0.0
434	9.09090909091
435	14.2857142857
436	100.0
437	-50.0
438	-60.0
439	-33.3333333333
440	14.2857142857
441	50.0
442	0.0
443	0.0
444	11.1111111111
445	-66.6666666667
446	0.0
447	-100.0
448	-14.2857142857
449	-60.0
450	-55.5555555556
451	33.3333333333
452	11.1111111111
453	20.0
454	-14.2857142857
455	-25.0
456	25.0
457	50.0
458	0.0
459	25.0
460	-50.0
461	50.0
462	0.0
463	-20.0
464	-20.0
465	100.0
466	-14.2857142857
467	-11.1111111111
468	0.0
469	33.3333333333
470	0.0
471	20.0
472	0.0
473	-25.0
474	-33.3333333333
475	-14.2857142857
476	-50.0
477	-9.09090909091
478	100.0
479	-60.0
480	50.0
481	-75.0
482	-20.0
483	50.0
484	0.0
485	63.6363636364
486	0.0
487	-20.0
